label,start_time_s,end_time_s,mean_xy_error_m,max_xy_error_m,mean_apex_height_m,mean_hop_period_s,mean_current_A,peak_current_A
Stable A,380.38668549999784,385.8671396999998,0.07425203418504699,0.10315159296680115,0.9510287310125459,0.9134090333336644,3.2447667813116916,13.755000114440918
Stable B,772.3241966999994,777.7347033000005,0.05612676967093893,0.08338704398676997,0.9322867092195528,0.9017511000001832,3.1430725095583902,13.227499961853027
Stable C,1023.9435666999998,1029.2638991999993,0.0810553008649742,0.10765482807884502,0.903932673912578,0.8867220833332491,3.584869715239049,11.99625015258789
