label,far_start_time_s,far_end_time_s,plot_start_time_s,plot_end_time_s,cycle_start_time_s,cycle_end_time_s,start_x_m,start_y_m,max_radial_error_m,final_radial_error_m,mean_current_A,peak_current_A
Release 1,66.34865939999872,71.04906130000018,67.67882570000074,75.89444250000088,73.32417609999902,78.97471159999986,-0.134384591968813,0.7154535872617835,0.754872675192459,0.16559239912200055,2.68049126416084,12.99625015258789
Release 2,83.51956839999912,87.3598693999993,85.00510829999985,102.05071730000054,92.89028490000057,99.21076080000056,0.9803248923139876,0.7739700195176165,0.769420309386368,0.25876883780293725,4.140834452165821,11.91249942779541
Release 3,107.40596540000116,111.59628359999988,109.78614300000118,114.86647739999898,114.1116645000002,119.70169700000042,0.9939626203599162,-0.1563931934270585,0.672883094393708,0.34546683264990063,3.327499924429283,14.554999351501465
Release 4,133.34262020000097,137.44300600000133,134.05270709999968,140.7429618999995,138.17292610000004,143.87341709999964,-0.1584555643683307,-0.184979071200021,0.7261631505097507,0.25947996226434034,2.93086827044818,13.085000038146973
