episode_label,Time_s,loop_dt,X,Y,Z,Vel_Z,Target_X,Target_Y,Target_Z,M1,M2,M3,M4,Obs_IsContact,VBat_V,Current_A,radial_error,power_W,relative_time_s,x_error_m,y_error_m
Release 1,68.07884990000093,0.0049498000007588,-0.1231280823232659,0.721902248056716,1.0278910677588533,0.0101182336445622,0.4402563297203632,0.2259430492011267,1.0,4,0,0,0,0.0,3.896250009536743,0.4912499785423279,0.7505847871248281,1.9140327335804699,0.400024200000189,-0.5633844120436291,0.49595919885558926
Release 1,68.08411419999902,0.0050670999989961,-0.1229984419103982,0.7219541611140791,1.0279336275626163,0.009435598885655,0.4402563297203632,0.2259430492011267,1.0,9,0,0,0,0.0,3.896250009536743,0.4912499785423279,0.7505217924257394,1.9140327335804699,0.405288499998278,-0.5632547716307614,0.49601111191295233
Release 1,68.08884580000085,0.004979600002116,-0.1228993646199763,0.7220084507248333,1.0279761617472314,0.0089089892669061,0.4402563297203632,0.2259430492011267,1.0,9,0,0,0,0.0,3.90874981880188,0.1312499940395355,0.7504833233702306,0.5130233904197822,0.4100201000001107,-0.5631556943403395,0.4960654015237066
Release 1,68.0938877999979,0.0049288000009255,-0.122743326268651,0.7220632551112213,1.027990739914782,0.0061533866558251,0.4402563297203632,0.2259430492011267,1.0,15,0,0,42,0.0,3.9187498092651367,0.1312499940395355,0.7504024729143841,0.51433588910848,0.41506209999715793,-0.5629996559890142,0.49612020591009454
Release 1,68.09899500000029,0.0051777999979094,-0.1226154752977992,0.7220949313100515,1.0280168312013822,0.0053926825088765,0.4402563297203632,0.2259430492011267,1.0,15,0,0,42,0.0,3.9187498092651367,0.1574999988079071,0.7503275011650797,0.6172030902877452,0.420169299999543,-0.5628718050181625,0.4961518821089248
Release 1,68.10393190000104,0.0048301999995601,-0.1224585315038018,0.7221280011108191,1.028033748657286,0.0042542806072519,0.4402563297203632,0.2259430492011267,1.0,0,0,0,68,0.0,3.919999837875366,0.1574999988079071,0.7502316452564202,0.6173999697923662,0.4251062000003003,-0.562714861224165,0.49618495190969236
Release 1,68.10879569999815,0.0050124000008509,-0.1222827276947801,0.7221716298610125,1.0280447871455989,0.0031635696229627,0.4402563297203632,0.2259430492011267,1.0,0,0,0,68,0.0,3.919999837875366,0.1537500023841858,0.7501286525531754,0.6026999844193455,0.4299699999974109,-0.5625390574151433,0.49622858065988573
Release 1,68.11392649999834,0.0049695000016072,-0.1221266652615904,0.722182622515705,1.0280590144358712,0.0027941847255503,0.4402563297203632,0.2259430492011267,1.0,0,0,0,58,0.0,3.9175000190734863,0.1537500023841858,0.7500188978741181,0.6023156372725964,0.4351007999975991,-0.5623829949819537,0.49623957331457824
Release 1,68.11882049999986,0.0050455999989935,-0.1219566239007285,0.7222171416964331,1.0280711766054451,0.0025102216709735,0.4402563297203632,0.2259430492011267,1.0,0,0,0,58,0.0,3.9175000190734863,0.1424999982118606,0.7499142484987146,0.5582437457129357,0.43999479999911273,-0.5622129536210917,0.4962740924953064
Release 1,68.12402939999811,0.0050177999983134,-0.1218018671617035,0.7222568192286405,1.02806770419196,0.0008910191745458,0.4402563297203632,0.2259430492011267,1.0,0,0,0,26,0.0,3.90999984741211,0.1424999982118606,0.7498244961330911,0.5571749712646009,0.4452036999973643,-0.5620581968820667,0.49631377002751376
Release 1,68.12893930000064,0.0050401000007695,-0.1216233059378957,0.7222870249652122,1.0280622384092497,-0.0003750275349342,0.4402563297203632,0.2259430492011267,1.0,0,0,0,26,0.0,3.90999984741211,0.1649999916553497,0.7497106556830821,0.6451499421954168,0.4501135999998951,-0.5618796356582589,0.4963439757640855
Release 1,68.1340554999988,0.0049801999994087,-0.1214581617645071,0.7223248754484546,1.0280395838081988,-0.0023946928134385,0.4402563297203632,0.2259430492011267,1.0,0,0,0,3,0.0,3.9075000286102295,0.1649999916553497,0.7496119578640263,0.6447374721139666,0.455229799998051,-0.5617144914848703,0.49638182624732785
Release 1,68.13875019999978,0.0048994999997376,-0.1212913383662348,0.7223432466483898,1.0280333698546815,-0.0022624827389477,0.4402563297203632,0.2259430492011267,1.0,0,0,0,3,0.0,3.9075000286102295,0.9662500023841858,0.7494991257894686,3.7756219119608403,0.4599244999990333,-0.5615476680865981,0.49640019744726305
Release 1,68.39404429999922,0.0050773000002664,-0.1168236447466714,0.7211691071426442,1.0246511792630917,-0.0142899991070613,0.4402563297203632,0.2259430492011267,1.0,0,0,0,6,0.0,3.919999837875366,0.1649999916553497,0.7453770498321551,0.6467999405384076,0.7152185999984795,-0.5570799744670346,0.4952260579415174
Release 1,68.39900240000134,0.0050162000006821,-0.1168294436244986,0.7211617165150069,1.0245850551876576,-0.0136947343197753,0.4402563297203632,0.2259430492011267,1.0,0,0,0,6,0.0,3.919999837875366,0.1349999904632568,0.7453764735483528,0.5291999407291427,0.720176700000593,-0.5570857733448618,0.4952186673138802
Release 1,68.40392870000142,0.00486390000151,-0.1168045012962655,0.7211803833955543,1.024521709126574,-0.0132345304580195,0.4402563297203632,0.2259430492011267,1.0,0,0,0,19,0.0,3.919999837875366,0.1349999904632568,0.7453702346035427,0.5291999407291427,0.7251030000006722,-0.5570608310166287,0.4952373341944276
Release 1,68.40887999999904,0.0050254999987373,-0.116822430398059,0.7212073661803303,1.024470064178404,-0.011859575000909,0.4402563297203632,0.2259430492011267,1.0,0,0,0,19,0.0,3.919999837875366,0.1487499922513961,0.745401562010676,0.5830999455094347,0.7300542999983008,-0.5570787601184222,0.4952643169792036
Release 1,68.62399860000005,0.0048554999993939,-0.115623518156726,0.7228206280066276,1.0229305186070632,-0.0161152175002904,0.4402563297203632,0.2259430492011267,1.0,0,14,0,0,0.0,3.9187498092651367,0.1550000011920929,0.7455801322429887,0.60740622510761,0.9451728999993065,-0.5558798478770892,0.4968775788055009
Release 1,68.628826199998,0.0049428999991505,-0.1156101574760094,0.7228448513165051,1.022846111461601,-0.0167990331630655,0.4402563297203632,0.2259430492011267,1.0,0,14,0,0,0.0,3.919999837875366,0.1550000011920929,0.7455863146098819,0.6075999795436857,0.9500004999972589,-0.5558664871963727,0.4969018021153784
Release 1,68.63411429999906,0.0051424000012048,-0.1156021999465124,0.7228633972646908,1.0227633716539657,-0.0166427237755909,0.4402563297203632,0.2259430492011267,1.0,0,31,0,0,0.0,3.919999837875366,0.1387500017881393,0.7455927422682135,0.5438999845147128,0.9552885999983118,-0.5558585296668757,0.4969203480635641
Release 1,68.63888039999802,0.004904900000838,-0.1155625606971934,0.7228510936356735,1.0226776111946252,-0.0170559304590631,0.4402563297203632,0.2259430492011267,1.0,0,31,0,0,0.0,3.919999837875366,0.1387500017881393,0.7455549903050541,0.5438999845147128,0.9600546999972721,-0.5558188904175566,0.4969080444345467
Release 1,68.64393360000031,0.0049538999992364,-0.1155184241575689,0.7228572177182538,1.0225947099130088,-0.0170291858014146,0.4402563297203632,0.2259430492011267,1.0,0,45,0,0,0.0,3.919999837875366,0.1574999988079071,0.7455261685019137,0.6173999697923662,0.9651078999995661,-0.5557747538779321,0.4969141685171271
Release 1,68.64885789999971,0.0049528999988979,-0.1154748747996569,0.7228624868640767,1.0225205931892374,-0.0161075005505259,0.4402563297203632,0.2259430492011267,1.0,0,45,0,0,0.0,3.9187498092651367,0.1574999988079071,0.7454972160944231,0.6172030902877452,0.9700321999989683,-0.5557312045200201,0.49691943766295
Release 1,68.65404080000008,0.0050893000006908,-0.1154484682935026,0.7228819265279296,1.0224507063022603,-0.015053142930705,0.4402563297203632,0.2259430492011267,1.0,0,59,0,0,0.0,3.9187498092651367,0.7887499928474426,0.7454904897679477,3.0909138840287937,0.9752150999993319,-0.5557047980138659,0.49693887732680286
Release 1,68.65877779999937,0.0049276999998255,-0.1153982985274709,0.7228958828126453,1.022375290796309,-0.0148993675160661,0.4402563297203632,0.2259430492011267,1.0,0,59,0,0,0.0,3.916249990463257,0.7887499928474426,0.7454623965886921,3.088942151966691,0.9799520999986271,-0.5556546282478341,0.49695283361151854
Release 1,68.66394070000024,0.0050129000010201,-0.1153214286826965,0.7229552482825977,1.0222993997942107,-0.0149470634321556,0.4402563297203632,0.2259430492011267,1.0,0,47,0,0,0.0,3.916249990463257,0.8499999642372131,0.7454446804880751,3.3288123518377546,0.9851149999994959,-0.5555777584030597,0.497012199081471
Release 1,68.66891549999855,0.0050550999985716,-0.1152579849122627,0.7229893256182246,1.0222278641895832,-0.0145630080514129,0.4402563297203632,0.2259430492011267,1.0,0,47,0,0,0.0,3.912499904632568,0.8499999642372131,0.745420119571412,3.3256247790157825,0.9900897999978042,-0.5555143146326259,0.49704627641709787
Release 1,68.67391190000126,0.0049533999990671,-0.1151573200803693,0.7230349548211931,1.0221475780764042,-0.0152518937322858,0.4402563297203632,0.2259430492011267,1.0,0,41,0,0,0.0,3.912499904632568,0.1499999910593032,0.7453755328812179,0.5868749507144098,0.9950862000005145,-0.5554136498007325,0.49709190562006633
Release 1,68.67901119999806,0.005100800000946,-0.1150777623448312,0.7230731665456669,1.0220678507618677,-0.0156500453649211,0.4402563297203632,0.2259430492011267,1.0,0,41,0,0,0.0,3.90999984741211,0.1499999910593032,0.7453417386547396,0.5864999421536934,1.0001854999973148,-0.5553340920651945,0.49713011734454016
Release 1,68.68406060000052,0.0050038000008498,-0.1149643356122514,0.7231350872064365,1.0219817599482248,-0.0164810039407162,0.4402563297203632,0.2259430492011267,1.0,0,28,0,0,0.0,3.90999984741211,0.5450000166893005,0.7452985374118647,2.1309499820947626,1.0052348999997776,-0.5552206653326146,0.49719203800530976
