#{"t_start": 1766580948.9824572, "env_id": "None"}
r,l,t
-3.9698818,18,1.379946
-3.61698,19,1.381998
-3.7047753,17,1.385162
-3.7132618,20,1.387259
-3.8039565,19,1.387286
-3.7073362,19,1.395777
-3.437615,20,1.396928
-4.2363963,19,1.396955
-4.253379,18,1.399945
-4.25955,18,1.40177
-4.050168,19,1.405439
-3.9149227,18,1.406437
-3.6434212,20,1.408849
-4.1046844,17,1.414925
-4.5801134,18,1.414975
-3.8506835,19,1.417809
-4.031872,20,1.422393
-3.7825286,19,1.423384
-3.7396615,18,1.426011
-3.8685565,19,1.427915
-4.5405445,19,1.430194
-4.139695,19,1.435073
-3.868929,19,1.435104
-4.0500164,18,1.436091
-3.8755755,19,1.440665
-3.9627204,20,1.443383
-4.0874453,18,1.444685
-3.6721747,21,1.450397
-4.4036283,19,1.450443
-4.287798,17,1.454828
-4.0251117,19,1.455958
-4.357366,20,1.457022
-3.9704406,18,1.461111
-4.144175,17,1.463169
-4.258699,19,1.464182
-3.6273384,19,1.470739
-3.6029265,19,1.470792
-4.222619,18,1.475585
-4.373304,20,1.476863
-3.8862352,19,1.477995
-4.2542033,19,1.482912
-4.097648,18,1.483965
-3.9233744,19,1.486579
-4.2303605,17,1.490358
-3.9814687,19,1.492519
-4.3001757,18,1.495159
-3.6343188,18,1.496107
-3.875956,17,1.496141
-3.4339986,18,1.501386
-4.4546485,18,1.502332
-3.74436,19,1.505133
-4.3274646,18,1.508149
-4.19729,20,1.513118
-3.565009,18,1.514437
-4.164537,18,1.515844
-3.694806,19,1.517395
-3.6596155,18,1.524236
-3.9059389,19,1.524287
-4.221184,19,1.529543
-4.2379622,20,1.535116
-3.5531359,20,1.540478
-4.0627055,19,1.540529
-4.091945,18,1.541878
-3.969191,19,1.541908
-4.5740585,18,1.547395
-4.201742,20,1.55019
-4.0527825,18,1.552817
-4.4429383,18,1.557159
-4.3293123,17,1.560714
-3.8160667,18,1.562823
-3.5052855,19,1.562863
-4.2810817,20,1.565122
-4.518226,18,1.568392
-4.2121625,19,1.571434
-3.8781457,18,1.572705
-4.343546,20,1.578963
-3.8592212,19,1.581685
-4.0555816,18,1.582922
-4.1783047,20,1.585763
-3.8123322,19,1.586832
-4.2754846,18,1.589204
-4.280625,19,1.593418
-4.4070673,18,1.593446
-3.9769425,18,1.599979
-3.8629441,18,1.603529
-3.6887333,20,1.604799
-4.1709323,20,1.608553
-4.098009,17,1.608593
-4.262262,20,1.609652
-4.323113,17,1.612397
-3.9811301,18,1.6137
-3.6423426,18,1.619489
-4.309911,19,1.623899
-3.2540953,19,1.625056
-4.1921635,17,1.627398
-4.3403287,19,1.628487
-4.224933,20,1.629792
-3.9364147,18,1.631637
-4.2673845,20,1.634446
-4.038102,19,1.639298
-4.0432644,17,1.642159
-4.180216,19,1.643188
-4.3896284,17,1.644272
-3.9123669,19,1.648204
-3.871943,18,1.648252
-4.3959556,19,1.65232
-4.8242936,18,1.655153
-4.0957575,18,1.660319
-3.9196002,19,1.666087
-3.7550125,20,1.666129
-3.5183911,18,1.666137
-4.2884064,17,1.668445
-4.6490674,20,1.672328
-4.4329276,18,1.67365
-4.216055,20,1.67826
-3.992947,19,1.682196
-3.8676054,18,1.686641
-3.316876,18,1.686684
-3.8839722,20,1.689084
-3.8746443,18,1.68913
-4.5249076,17,1.69124
-3.6946232,17,1.692174
-3.6471326,18,1.697605
-3.9831984,19,1.702483
-4.5153484,18,1.705586
-4.30809,18,1.705629
-4.0614214,18,1.707498
-3.9743018,18,1.707521
-4.1102815,18,1.709259
-4.278289,19,1.712077
-3.8920856,18,1.717215
-3.8708644,18,1.724167
-3.8612707,17,1.726202
-4.1655045,18,1.727794
-3.8856177,18,1.73087
-3.6480265,18,1.730905
-4.0893707,19,1.736961
-4.1390553,20,1.741305
-3.9672747,18,1.743818
-4.3390775,18,1.749983
-3.7189176,20,1.75503
-4.0183372,18,1.756135
-4.6829863,18,1.756172
-3.8522923,21,1.75719
-3.6166084,20,1.762946
-4.2013655,18,1.764114
-3.8437634,18,1.766419
-3.5677984,18,1.772025
-4.250707,19,1.777251
-3.717013,17,1.7773
-4.0959506,19,1.778253
-3.9236746,19,1.77827
-3.7528646,18,1.78282
-4.233127,18,1.784239
-4.436444,18,1.787094
-3.7596734,19,1.796056
-3.4542727,18,1.801939
-3.7835102,19,1.801983
-3.9208214,19,1.801992
-4.0329537,19,1.803333
-3.8641655,19,1.807942
